LncRNA_ID	LncRNA_Name	ICLIP_EZH2_Raw_TagCount	ICLIP_EZH2_Norm_TagCount	Chrom	Strand	Start	End	Source	Length
ENST00000485881	RP11-598P12.1	10128	10826.84236	chr3	+	137599136	137601079	Ensembl	1943
ENST00000499642	AC009879.1	9575	10235.68479	chr8	-	67331823	67341212	Ensembl	4366
uc003hts.1	CR594710	9546	10204.68376	chr4	+	97231851	97285603	UCSC_kg	1687
AF071178		9368	10014.40158	chr15	+	20723940	20725078	RNAdb	1131
ENST00000421232	RP1-302D9.4	8843	9453.17604	chr22	-	33562372	33617737	Ensembl	596
NR_027473	KDM2A	8621	9215.85782	chr11	+	66886739	67025542	RefSeq_NR	6941
NR_003149	GPR98	8485	9070.47368	chr5	+	89854616	90460032	RefSeq_NR	19250
NR_027671	UGGT1	7726	8259.1019	chr2	+	128848781	128953247	RefSeq_NR	10955
AK025324		7663	8191.75484	chr13	+	97842075	97844455	predicted	2398
NR_002819	MALAT1	7371	7879.60654	chr11	+	65265232	65273937	RefSeq_NR	8708
ENST00000418539	BCYRN1	7309	7813.32848	chr2	+	47558198	47571656	Ensembl	13458
ENST00000378334	AC105342.1	7223	7721.39439	chr2	-	81421460	81428308	Ensembl	6848
ENST00000414124	AC005822.1	7120	7611.28728	chr17	-	16520161	16521195	Ensembl	1034
uc003wml.1	AX746648	7103	7593.11427	chr7	-	156230482	156238282	UCSC_kg	2698
CR618436		7095	7584.56226	chr17	-	43224096	43225592	predicted	1496
NR_033440	PAM	7071	7558.90623	chr5	+	102201526	102366806	RefSeq_NR	5295
NR_027262	C15orf34	6590	7044.71674	chr15	+	72668453	72671129	RefSeq_NR	2835
NR_003255	TSIX	6348	6786.01849	chrX	+	73012039	73049066	RefSeq_NR	37027
uc003bin.2	BC048428	6212	6640.63435	chr22	-	48939134	48943157	UCSC_kg	3007
NR_028597	SRD5A1P1	6204	6632.08235	chrX	+	138528977	138531132	RefSeq_NR	2155
NR_023350	COPB2	6107	6528.38925	chr3	-	139076434	139108522	RefSeq_NR	3221
AX721113		6060	6478.1462	chr19	-	9490500	9490846	RNAdb	370
ENST00000441182	RP4-651E10.3	6057	6474.9392	chr1	-	87018307	87019025	Ensembl	718
NR_026960	C21orf125	5932	6341.31407	chr21	+	44869903	44873769	RefSeq_NR	3015
ENST00000502182	AC008494.1	5921	6329.55506	chr5	+	114512863	114516020	Ensembl	2905
NR_028063	GCC2	5899	6306.03703	chr2	+	109065576	109125853	RefSeq_NR	6913
AK092560		5748	6144.61788	chr6	-	160119780	160122434	predicted	2655
ENST00000454800	AP001625.4	5555	5938.30068	chr21	+	43916117	43918313	Ensembl	1603
BX640776		5286	5650.73941	chr1	+	55531370	55534929	RNAdb	3575
AK125043		5243	5604.77236	chr21	-	33652835	33656428	predicted	3596
AF052091		5232	5593.01335	chr6	+	38142930	38144081	NRED	1353
ENST00000394628	RP11-428P16.2	5227	5587.66835	chr10	+	79490523	79494527	Ensembl	3711
BX648728		5199	5557.73632	chr19	+	46322212	46358952	predicted	6543
BC045821		5194	5552.39131	chr19	-	37264620	37266810	RNAdb	2208
NR_026832	LOC150622	5172	5528.87329	chr2	+	6072818	6120350	RefSeq_NR	11868
uc001wtw.1	BX161496	5068	5417.69718	chr14	+	36988520	36991722	UCSC_kg	1238
uc001kgy.2	BC037970	5052	5400.59317	chr10	+	92213925	92261192	UCSC_kg	2364
AK126282		5051	5399.52417	chr6	+	49689643	49691720	predicted	2077
CR624189		5036	5383.48915	chr18	-	7740622	7749441	predicted	1744
ENST00000427526	AC027139.4	4921	5260.55403	chr15	+	34848064	34849020	Ensembl	954
ENST00000510813	RP11-365H8.2	4908	5246.65702	chr5	+	55488356	55489460	Ensembl	1104
ENST00000419578	RP1-13P20.6	4892	5229.553	chr1	-	152902515	152921686	Ensembl	1997
ENST00000411631	POM121B	4870	5206.03498	chr7	+	72705856	72716496	Ensembl	3840
NR_002939	RUNDC2C	4750	5077.75486	chr16	+	29302540	29385596	RefSeq_NR	5832
uc002ehh.2	BX537874	4746	5073.47885	chr16	-	53400850	53404882	UCSC_kg	3608
NR_024207	KIAA1875	4740	5067.06485	chr8	+	145162628	145173218	RefSeq_NR	7119
NR_028057	PLCXD1	4701	5025.37381	chrX	+	192990	220020	RefSeq_NR	2103
ENST00000499573	AC092145.1	4580	4896.02468	chr16	+	84599207	84610702	Ensembl	5330
NR_023359	CABLES1	4508	4819.05661	chr18	+	20714527	20840434	RefSeq_NR	3909
NR_023390	C9orf130	4478	4786.98658	chr9	-	98568371	98638259	RefSeq_NR	8030
ENST00000435552	RP3-340N1.6	4401	4704.6735	chr1	+	20569587	20571148	Ensembl	480
ENST00000443966	GNASAS	4391	4693.98349	chr20	-	57414836	57415899	Ensembl	1063
ENST00000468244	RP11-65N13.8	4388	4690.77649	chr9	+	128003941	128019297	Ensembl	550
ENST00000504345	AL390877.2	4378	4680.08648	chr1	+	118320270	118321523	Ensembl	1011
AB075478		4365	4666.18946	chr6	-	116590507	116592627	predicted	2127
AK090480		4355	4655.49945	chr15	+	96902891	96907471	predicted	4478
NR_028339	LOC100130522	4331	4629.84343	chr18	+	77905806	77929616	RefSeq_NR	3352
NR_027136	C1orf126	4327	4625.56743	chr1	-	15438311	15478960	RefSeq_NR	6979
Y13870		4305	4602.0494	chr4	-	96806705	96809282	predicted	2627
uc003yry.2	BX648371	4277	4572.11737	chr8	-	126953377	126963433	UCSC_kg	5325
uc001czn.2	BC042048	4240	4532.56434	chr1	+	60238466	60254499	UCSC_kg	526
BC040984		4211	4501.56331	chrY	+	18980781	18982547	predicted	1785
BC008624		4193	4482.32129	chr8	-	70568536	70570407	predicted	1889
AK022438		4182	4470.56228	chr3	-	185201519	185203432	predicted	1913
uc010rog.1	NEAT1	4156	4442.76825	chr11	+	65190268	65207625	UCSC_kg	17357
NR_026928	CG030	4105	4388.2492	chr13	-	33078644	33083532	RefSeq_NR	4890
ENST00000505168	RP11-588F18.1	4102	4385.0422	chr4	+	151948241	151948769	Ensembl	528
ENST00000422418	RPL38	4100	4382.90419	chr2	+	78015507	78020213	Ensembl	418
AK054718		4034	4312.35013	chr11	-	76153921	76155724	predicted	1804
NR_028287	GABARAPL3	4027	4304.86712	chr15	-	90889764	90892679	RefSeq_NR	1889
ENST00000420610	MXRA5P1	4005	4281.3491	chrY	+	14077913	14108092	Ensembl	8000
ENST00000504267	AL079307.3	3996	4271.72809	chr14	+	52231993	52292132	Ensembl	5974
ENST00000450418	AC023480.1	3956	4228.96805	chr3	-	4023664	4025979	Ensembl	2315
BC142990		3911	4180.863	chr5	+	79783804	79837842	NRED	2185
NR_022012	COL29A1	3901	4170.17299	chr3	+	130064358	130203688	RefSeq_NR	9226
ENST00000447253	RP11-730A19.6	3883	4150.93097	chr10	-	13198683	13200136	Ensembl	1453
BC064330		3844	4109.23993	chr12	+	121458094	121476617	predicted	3296
ENST00000505813	CTD-2089O24.1	3844	4109.23993	chr5	-	110283727	110286479	Ensembl	2752
AK126009		3841	4106.03293	chr5	+	168133571	168147889	RNAdb	3469
uc010tme.1	TRA	3833	4097.48092	chr14	+	22179104	22183314	UCSC_kg	2572
uc002ydg.1	AX747649	3818	4081.44591	chr20	+	61404868	61407369	UCSC_kg	2501
NR_024460	CCDC66	3813	4076.1009	chr3	+	56591183	56655846	RefSeq_NR	3133
ENST00000498878	AC097359.2	3804	4066.47989	chr3	-	37400867	37408234	Ensembl	5351
uc003ogj.1	AK057709	3782	4042.96187	chr6	-	33857288	33864684	UCSC_kg	3150
NR_024157	DGCR11	3769	4029.06486	chr22	-	19033674	19035888	RefSeq_NR	2214
ENST00000514700	AC110011.1	3735	3992.71882	chr5	-	172293620	172299818	Ensembl	5969
AK128072		3707	3962.78679	chr7	-	75682829	75690169	RNAdb	5250
ENST00000438989	AC007041.2	3706	3961.71779	chr2	-	20439652	20440807	Ensembl	1155
NR_026698	KPNA1	3690	3944.61377	chr3	-	122140747	122233786	RefSeq_NR	7012
AK057535		3674	3927.50976	chr1	+	21044625	21047091	RNAdb	2470
NR_026892	LOC84740	3645	3896.50873	chr4	+	7755816	7780652	RefSeq_NR	6810
ENST00000401578	RP11-296E7.1	3634	3884.74972	chr6	-	80774001	80777854	Ensembl	3853
uc002uiw.2	BC046497	3591	3838.78267	chr2	+	175411868	175639552	UCSC_kg	2397
NR_015346	JMJD7-PLA2G4B	3582	3829.16166	chr15	+	42120282	42140345	RefSeq_NR	7233
ENST00000500201	AL031667.1	3568	3814.19565	chr20	+	40024067	40034133	Ensembl	3581
NR_024481	C9orf144	3562	3807.78164	chr9	-	34830264	34838583	RefSeq_NR	6144
AK000809		3548	3792.81563	chr20	-	1316227	1317552	predicted	1378
ENST00000508566	AC006499.8	3537	3781.05662	chr4	-	10256362	10258245	Ensembl	1883
NR_003666	SPDYE7P	3536	3779.98762	chr7	-	72333317	72339655	RefSeq_NR	6338
NR_026826	INTS9	3529	3772.50461	chr8	-	28625175	28747698	RefSeq_NR	2573
uc002pxg.1	AK125996	3529	3772.50461	chr19	-	52188615	52196709	UCSC_kg	3962
NR_030691	ANO1	3525	3768.22861	chr11	+	69931515	70035649	RefSeq_NR	3597
uc001mss.1	KIAA1493	3484	3724.39956	chr11	-	30851924	30946955	UCSC_kg	3175
NR_028330	C15orf37	3480	3720.12356	chr15	+	80215112	80217196	RefSeq_NR	2084
AK127099		3480	3720.12356	chr1	+	161215647	161220292	predicted	4648
NR_003945	GVIN1	3464	3703.01954	chr11	-	6734382	6743110	RefSeq_NR	8741
ENST00000457538	AC040169.3	3459	3697.67454	chr16	+	84152948	84154032	Ensembl	1074
ENST00000439095	RP11-295M18.4	3457	3695.53654	chr1	-	221064508	221068345	Ensembl	2436
ENST00000423174	ASS1P7	3454	3692.32953	chr3	-	177014948	177016174	Ensembl	1226
NR_002164	GTF2IRD2P1	3453	3691.26053	chr7	-	72656901	72685658	RefSeq_NR	3010
NR_027299	XPC	3357	3588.63643	chr3	-	14186649	14220172	RefSeq_NR	3605
ENST00000458400	GS1-600G8.4	3284	3510.59936	chrX	+	13346055	13347986	Ensembl	739
uc003srb.1	CR609701	3280	3506.32335	chr7	+	7284224	7288212	UCSC_kg	3988
ENST00000501311	AC125792.1	3269	3494.56434	chr16	-	86508134	86542466	Ensembl	3095
AK125468		3268	3493.49534	chrX	-	39958944	39962809	RNAdb	3865
NR_024522	TMEM67	3267	3492.42634	chr8	+	94767071	94831458	RefSeq_NR	3381
ENST00000439784	AC004834.2	3256	3480.66733	chr7	+	98836416	98908753	Ensembl	6294
ENST00000434301	AC092667.2	3238	3461.42531	chr2	+	100721380	100723966	Ensembl	2586
ENST00000509888	AC009052.1	3236	3459.28731	chr16	+	57477061	57481271	Ensembl	3435
BC043274		3224	3446.4593	chr19	+	40596662	40600311	RNAdb	3667
NR_026951	C17orf44	3210	3431.49328	chr17	-	8123948	8127361	RefSeq_NR	2115
AK125129		3197	3417.59627	chr3	-	17237262	17241152	NRED	3890
uc001pxd.1	AK057239	3195	3415.45827	chr11	-	120120467	120136641	UCSC_kg	2128
NR_024595	DNM1P35	3189	3409.04426	chr15	-	76025203	76032502	RefSeq_NR	7300
NR_027676	BRCA1	3188	3407.97526	chr17	-	41196312	41277340	RefSeq_NR	7128
NR_028482	DCAF17	3164	3382.31924	chr2	+	172290760	172341560	RefSeq_NR	5736
ENST00000510816	AC079601.3	3135	3351.31821	chr12	+	42853167	42859906	Ensembl	2767
AK058164		3129	3344.9042	chr5	-	76721767	76723199	RNAdb	1433
ENST00000465933	RP11-755B10.3	3107	3321.38618	chr3	+	57678931	57682323	Ensembl	2919
BC038430		3105	3319.24818	chr1	-	174964437	174968496	RNAdb	4093
AK095102		3102	3316.04117	chr13	-	102363153	102366004	predicted	2851
NR_027002	LOC388692	3101	3314.97217	chr1	+	149279475	149291742	RefSeq_NR	12267
ENST00000442382	RP4-781K5.6	3096	3309.62717	chr1	-	234805268	234831900	Ensembl	3564
ENST00000325496	RP11-5G9.4	3093	3306.42016	chr13	+	44542559	44545335	Ensembl	2775
ENST00000508114	RP11-562F9.1	3074	3286.10914	chr4	-	93103627	93105203	Ensembl	1576
BC045669		3074	3286.10914	chr3	+	187433476	187437021	predicted	3657
NR_015384	LOC100126784	3063	3274.35013	chr11	-	19732480	19736146	RefSeq_NR	3667
uc001qzy.2	BC041827	3060	3271.14313	chr12	+	11700963	11717333	UCSC_kg	3669
ENST00000514598	CTD-2188H20.1	3059	3270.07413	chr5	-	52965910	52968075	Ensembl	2003
ENST00000507410	RP11-466J24.1	3053	3263.66012	chr4	+	43588344	43590114	Ensembl	1770
uc001hwe.2	BC040195	3044	3254.03911	chr1	-	234663637	234667522	UCSC_kg	2856
AY216265		3031	3240.1421	chr21	+	40180033	40183109	NRED	3099
ENST00000444815	AC073869.5	3031	3240.1421	chr2	-	132181369	132182440	Ensembl	1071
ENST00000510070	AC011330.5	3015	3223.03808	chr15	-	43955851	43976537	Ensembl	3235
NR_026950	LOC283922	3012	3219.83108	chr16	-	74366303	74402153	RefSeq_NR	2371
ENST00000443260	RP13-150K15.1	3009	3216.62408	chrX	+	144711735	144713893	Ensembl	1855
ENST00000508335	RP11-453N18.1	3008	3215.55508	chr8	-	68045788	68048146	Ensembl	2358
ENST00000444697	AC127383.1	2993	3199.52006	chr2	-	68672841	68676306	Ensembl	1800
AL832324		2971	3176.00204	chr5	-	79025108	79029333	predicted	4257
ENST00000474651	PROSP	2937	3139.656	chr3	-	90251465	90306565	Ensembl	1951
uc001hcx.2	AF321617	2920	3121.48299	chr1	-	205577072	205578798	UCSC_kg	1726
ENST00000499718	AC055855.2	2914	3115.06898	chr15	-	66614819	66618897	Ensembl	2884
X78262		2906	3106.51697	chr5	+	151151669	151158506	NRED	7002
NR_024171	MDM4	2904	3104.37897	chr1	+	204485510	204527247	RefSeq_NR	10005
BC042610		2899	3099.03397	chr1	-	155040937	155044197	predicted	3285
BX538250		2884	3082.99895	chr15	+	83419323	83425834	RNAdb	6278
ENST00000504141	RP11-648M2.2	2878	3076.58494	chr5	-	37505789	37506959	Ensembl	1170
ENST00000499817	AC007686.2	2867	3064.82593	chr14	+	77490887	77494622	Ensembl	3650
ENST00000449783	AC073321.3	2858	3055.20492	chr2	-	217455148	217471661	Ensembl	1184
ENST00000411044	AC015845.2	2857	3054.13592	chr17	+	55866809	55867093	Ensembl	284
AK126037		2854	3050.92892	chr4	-	164030328	164033783	predicted	3455
AK127499		2848	3044.51491	chr11	-	118028563	118033233	predicted	4659
ENST00000440698	AC007682.1	2842	3038.10091	chr2	+	51259738	52635055	Ensembl	3939
ENST00000427173	RP11-63B19.1	2836	3031.6869	chr1	+	177669658	177679465	Ensembl	1666
HIT000096638		2832	3027.4109	chr16	+	25027838	25032232	HinvDB	4390
ENST00000422816	AC004797.1	2821	3015.65189	chr17	-	47501630	47502284	Ensembl	654
BC041657		2815	3009.23788	chr4	+	96470279	96473370	predicted	3152
ENST00000448117	AC104801.1	2799	2992.13386	chr2	+	172967733	172974710	Ensembl	950
AK096235		2792	2984.65086	chr13	+	46693991	46696834	predicted	2843
BX648121		2771	2962.20183	chr3	-	72370205	72373178	predicted	2985
CR749855		2762	2952.58083	chr11	-	13293306	13298678	RNAdb	5423
AK124354		2761	2951.51182	chr5	-	10264708	10267258	RNAdb	2551
BC036040		2757	2947.23582	chr18	+	29304160	29306916	NRED	2774
CR749709		2756	2946.16682	chr19	+	2714576	2721335	predicted	3370
NR_024022	SETMAR	2750	2939.75281	chr3	+	4345296	4358948	RefSeq_NR	2190
AK096262		2749	2938.68381	chr12	-	2901745	2904044	predicted	2299
uc001kat.2	CR592318	2748	2937.61481	chr10	-	81451255	81586183	UCSC_kg	1146
uc001iuk.1	BC028422	2747	2936.54581	chr10	-	29078240	29084902	UCSC_kg	3834
uc002xyu.1	CR612603	2731	2919.44179	chr20	+	56285238	56287808	UCSC_kg	2570
NR_027624	BZW2	2729	2917.30379	chr7	+	16685758	16746148	RefSeq_NR	1747
AL049252		2727	2915.16579	chr6	-	30268570	30271892	NRED	3343
NR_028028	ITPRIPL2	2721	2908.75178	chr16	+	19125253	19132948	RefSeq_NR	7206
ENST00000433620	AC013437.6	2716	2903.40678	chr2	-	143856466	143857502	Ensembl	714
AK125352		2708	2894.85477	chrX	+	150872473	150874394	predicted	1921
CR599090		2708	2894.85477	chr11	+	23124898	23126349	predicted	1455
uc003qvy.1	AL832737	2706	2892.71677	chr6	-	168080305	168096970	UCSC_kg	3867
CR749525		2704	2890.57877	chr16	+	9449444	9501949	predicted	5375
ENST00000458399	RP11-314N2.2	2699	2885.23376	chr1	+	147313095	147314537	Ensembl	1442
uc002zls.1	TPTE	2696	2882.02676	chr22	+	17082800	17179521	UCSC_kg	1603
ENST00000426589	AC112198.1	2691	2876.68175	chr5	-	54104037	54168379	Ensembl	6996
ENST00000441473	RP11-343J18.2	2690	2875.61275	chr9	+	128819858	128921892	Ensembl	316
NR_024514	ADAMTS13	2677	2861.71574	chr9	+	136279458	136324507	RefSeq_NR	2979
ENST00000451446	RP11-309I15.2	2670	2854.23273	chr13	-	24696203	24697953	Ensembl	1750
AK127428		2669	2853.16373	chr12	+	81330192	81334025	predicted	3856
NR_033427	ARL13B	2668	2852.09473	chr3	+	93698982	93774521	RefSeq_NR	3746
ENST00000513382	AC006115.1	2666	2849.95673	chr19	+	57321476	57327470	Ensembl	5904
AF070632		2664	2847.81872	chr1	-	112313294	112315191	NRED	1446
CR936705		2661	2844.61172	chr1	+	14645964	14655243	predicted	9298
ENST00000426911	RP11-308D16.3	2654	2837.12871	chrX	-	136066581	136067864	Ensembl	1221
ENST00000320761	AC009505.1	2649	2831.78371	chr2	-	106499479	106499844	Ensembl	363
ENST00000328462	RP1-232L22__B.1	2645	2827.50771	chrX	-	101033854	101035513	Ensembl	1659
ENST00000502314	CCT5P1	2640	2822.1627	chr5	+	114847773	114849391	Ensembl	1618
AK024377		2638	2820.0247	chr15	-	40978358	40982486	predicted	4126
uc003mjv.3	CR598488	2630	2811.47269	chr5	-	178537853	178540736	UCSC_kg	2883
AK056720		2624	2805.05868	chr8	+	74332308	74353751	RNAdb	2080
G36445		2618	2798.64468	chr6	-	7155256	7157840	predicted	2584
AK125472		2615	2795.43767	chr13	-	113257141	113260731	predicted	3590
AL832582		2615	2795.43767	chr8	+	103838595	103876363	NRED	4158
BC040996		2612	2792.23067	chr21	-	47179718	47183672	NRED	3973
NR_028388	FUS	2605	2784.74766	chr16	+	31191430	31206190	RefSeq_NR	5084
uc003adi.2	CR936633	2603	2782.60966	chr22	+	27706611	27713416	UCSC_kg	5051
uc002rac.2	BC051708	2600	2779.40266	chr2	-	10092866	10096058	UCSC_kg	3192
AK095067		2599	2778.33366	chr6	+	167064993	167067133	predicted	2140
AB007979		2598	2777.26466	chr1	-	175284332	175289747	NRED	5596
uc003dqi.2	BC068246	2595	2774.05765	chr3	-	84687556	84918726	UCSC_kg	7308
ENST00000412680	RP11-263F14.3	2593	2771.91965	chr9	+	137759864	137760321	Ensembl	457
ENST00000420969	AC009487.6	2587	2765.50565	chr2	-	162357395	162364216	Ensembl	6821
uc011kjy.1	AK097705	2586	2764.43665	chr7	-	100187024	100201661	UCSC_kg	2537
ENST00000403332	RP11-775I22.2	2585	2763.36764	chr6	-	129478673	129480267	Ensembl	1594
ENST00000455431	RP1-125I3.2	2578	2755.88464	chr1	+	26186103	26189911	Ensembl	849
NR_033234	STRBP	2576	2753.74663	chr9	-	125883910	126030843	RefSeq_NR	6351
NR_028062	PRKY	2573	2750.53963	chrY	+	7142012	7249586	RefSeq_NR	7240
uc003bng.2	BC050343	2569	2746.26363	chr22	-	51174258	51176567	UCSC_kg	2024
CR749831		2567	2744.12563	chr10	-	52559792	52565728	predicted	5945
NR_027418	LOC651250	2565	2741.98762	chr17	+	66097695	66132068	RefSeq_NR	11210
ENST00000424868	RP3-425P12.2	2565	2741.98762	chr6	-	25061852	25063735	Ensembl	472
uc004fbf.1	AK054921	2563	2739.84962	chrX	+	139863223	139866517	UCSC_kg	3294
ENST00000434868	RP1-90L6.2	2553	2729.15961	chr22	+	27254596	27261749	Ensembl	6043
ENST00000423715	RP11-67K19.3	2549	2724.88361	chr9	+	119330727	119348607	Ensembl	4996
NR_027107	MGC45800	2547	2722.74561	chr4	-	183060158	183065668	RefSeq_NR	4953
uc002ukr.2	BC047605	2540	2715.2626	chr2	+	177001339	177005118	UCSC_kg	1782
ENST00000419388	RP11-89K18.1	2540	2715.2626	chr10	+	2978212	2978633	Ensembl	421
NR_024445	LOC100128003	2539	2714.1936	chr1	-	2120481	2125024	RefSeq_NR	4543
AK123611		2533	2707.77959	chr9	-	131668613	131672083	predicted	3471
ENST00000434624	CEACAM22P	2519	2692.81358	chr19	-	43124363	43137186	Ensembl	1035
NR_024334	LOC645431	2519	2692.81358	chr14	-	65877312	65879335	RefSeq_NR	2026
NR_027928	CHKB-CPT1B	2517	2690.67557	chr22	-	51007290	51021428	RefSeq_NR	4948
uc003cpd.1	AX747832	2513	2686.39957	chr3	-	46058515	46062157	UCSC_kg	3642
ENST00000500567	AL031009.1	2511	2684.26157	chr16	-	1722897	1727907	Ensembl	3214
uc003zpr.2	CR627240	2507	2679.98556	chr9	-	23500689	23672385	UCSC_kg	4804
NR_028393	TSNAX-DISC1	2503	2675.70956	chr1	+	231664398	232177016	RefSeq_NR	7682
uc010bcp.1	AK057625	2497	2669.29555	chr15	+	42184990	42188133	UCSC_kg	2900
uc004aaa.2	BC014180	2495	2667.15755	chr9	+	37505586	37510377	UCSC_kg	4791
NR_033191	PPP2R2D	2495	2667.15755	chr10	+	133747959	133770051	RefSeq_NR	2440
BX647080		2489	2660.74355	chr9	+	85882089	85885746	RNAdb	3677
NR_027240	LOC730668	2487	2658.60554	chr22	+	46402495	46406657	RefSeq_NR	4162
ENST00000435478	CTD-2330K9.2	2485	2656.46754	chr3	+	49936734	49941190	Ensembl	544
G36671		2483	2654.32954	chr15	+	60374837	60375333	predicted	496
uc003xtc.1	AK055621	2477	2647.91553	chr8	-	57430879	57472230	UCSC_kg	2366
uc002gyg.1	AK057473	2470	2640.43253	chr17	+	20771745	20807221	UCSC_kg	2405
AK025777		2455	2624.39751	chr19	+	44598502	44603842	NRED	2140
NR_027433	LOC440925	2449	2617.9835	chr2	-	171568948	171571077	RefSeq_NR	2129
AK057093		2447	2615.8455	chr11	+	67819099	67821228	predicted	2129
ENST00000508627	AC078974.1	2446	2614.7765	chr2	-	85291256	85294470	Ensembl	3111
NR_003272	PSPC1	2440	2608.3625	chr13	-	20248895	20357083	RefSeq_NR	1716
AK092122		2434	2601.94849	chr11	-	36141068	36142783	predicted	1716
ENST00000445234	AC027612.4	2434	2601.94849	chr2	+	91924751	91955465	Ensembl	2395
ENST00000452622	AC147651.3	2433	2600.87949	chr7	+	560027	564869	Ensembl	3506
AK095015		2426	2593.39648	chr1	+	234666767	234669619	predicted	2854
ENST00000317872	AC097658.1	2426	2593.39648	chr4	-	144257787	144258343	Ensembl	552
ENST00000508574	BX276092.5	2422	2589.12048	chrX	+	70917045	70926305	Ensembl	4113
uc003znp.1	AK094196	2389	2553.84344	chr9	-	19129734	19149253	UCSC_kg	1681
uc003xvd.2	AK124256	2387	2551.70544	chr8	+	65285884	65295840	UCSC_kg	2336
BC026095		2387	2551.70544	chr11	+	59323030	59325212	predicted	2212
U94359		2377	2541.01543	chr5	+	49693860	49707829	predicted	4066
AY660576		2371	2534.60143	chrX	+	10583235	10587974	predicted	4740
uc003hum.1	BX647987	2370	2533.53242	chr4	+	100010010	100222513	UCSC_kg	4822
BC007804		2367	2530.32542	chr11	+	74953239	74954741	predicted	1541
NR_026750	DKFZp686O24166	2366	2529.25642	chr11	+	17373316	17398869	RefSeq_NR	6394
ENST00000507758	RP11-142A22.2	2365	2528.18742	chr4	+	146296692	146297402	Ensembl	710
uc004ags.1	AK130904	2361	2523.91141	chr9	+	71150805	71154670	UCSC_kg	3865
NR_027647	LPO	2358	2520.70441	chr17	+	56315786	56345878	RefSeq_NR	2905
ENST00000399586	RP11-324B6.1	2358	2520.70441	chrX	-	74960665	74966746	Ensembl	6081
ENST00000501257	AC137932.3	2356	2518.56641	chr16	+	89349777	89351806	Ensembl	1824
BC041389		2352	2514.29041	chr2	-	204102186	204104694	predicted	2537
AK095904		2348	2510.0144	chr1	-	222834744	222837316	NRED	2570
ENST00000515849	CTNNAP1	2344	2505.7384	chr5	-	114725339	114728067	Ensembl	2709
uc001ixd.2	BC042457	2342	2503.6004	chr10	-	34048641	34061586	UCSC_kg	2935
ENST00000502668	RP11-340A13.3	2337	2498.25539	chr4	-	59912737	59940960	Ensembl	291
NR_023353	EXOSC7	2337	2498.25539	chr3	+	45017740	45054158	RefSeq_NR	1246
NR_028402	CSRP2BP	2333	2493.97939	chr20	+	18125742	18169029	RefSeq_NR	3152
ENST00000397974	RP11-261A1.1	2333	2493.97939	chr13	-	65531700	65533615	Ensembl	1905
uc003qvx.1	AK127120	2330	2490.77238	chr6	-	168067523	168079903	UCSC_kg	4518
CR603348		2319	2479.01337	chr11	-	85391644	85393907	predicted	2263
ENST00000449605	RP11-147O5.1	2318	2477.94437	chrX	+	21911717	21920026	Ensembl	7619
AK126785		2317	2476.87537	chr14	-	91323682	91327217	predicted	3534
NR_003562	MPP3	2317	2476.87537	chr17	-	41878168	41910538	RefSeq_NR	2821
AK055792		2314	2473.66837	chr8	-	26304764	26306770	predicted	2006
AK127184		2313	2472.59937	chr16	+	85893126	85895618	predicted	2491
NR_024247	MUM1	2310	2469.39236	chr19	+	1356322	1378430	RefSeq_NR	4188
